iter	Passed	Remaining
401	16245	24165
402	16284	24124
403	16322	24080
404	16365	24042
405	16400	23994
406	16445	23960
407	16480	23913
408	16515	23864
409	16559	23829
410	16603	23794
411	16642	23751
412	16689	23721
413	16735	23687
414	16776	23649
415	16820	23613
416	16859	23570
417	16896	23526
418	16937	23486
419	16976	23443
420	17017	23404
421	17064	23372
422	17114	23345
423	17152	23301
424	17196	23265
425	17236	23224
426	17275	23181
427	17310	23134
428	17355	23100
429	17393	23055
430	17433	23015
431	17473	22974
432	17507	22925
433	17549	22887
434	17585	22841
435	17624	22798
436	17665	22758
437	17704	22717
438	17746	22678
439	17789	22641
440	17825	22594
441	17864	22552
442	17903	22510
443	17940	22465
444	17976	22420
445	18014	22376
446	18058	22340
447	18101	22303
448	18144	22266
449	18185	22226
450	18224	22184
451	18259	22137
452	18306	22105
453	18348	22067
454	18389	22026
455	18426	21982
456	18469	21945
457	18507	21901
458	18548	21861
459	18594	21828
460	18643	21798
461	18687	21761
462	18736	21731
463	18768	21681
464	18818	21651
465	18862	21614
466	18902	21573
467	18947	21538
468	18997	21508
469	19036	21466
470	19073	21421
471	19112	21379
472	19156	21343
473	19199	21306
474	19242	21267
475	19286	21231
476	19332	21197
477	19373	21156
478	19419	21122
479	19456	21078
480	19497	21037
481	19535	20994
482	19572	20950
483	19619	20916
484	19672	20889
485	19724	20860
486	19762	20817
487	19802	20776
488	19840	20733
489	19883	20695
490	19933	20664
491	19986	20636
492	20025	20594
493	20061	20549
494	20101	20507
495	20141	20466
496	20188	20431
497	20230	20392
498	20269	20351
499	20311	20311
500	20350	20269
501	20391	20228
502	20429	20185
503	20465	20140
504	20508	20102
505	20544	20057
506	20590	20022
507	20633	19983
508	20677	19946
509	20716	19904
510	20754	19861
511	20794	19819
512	20835	19779
513	20877	19740
514	20917	19698
515	20960	19660
516	21009	19627
517	21053	19590
518	21091	19546
519	21123	19498
520	21164	19458
521	21198	19411
522	21238	19370
523	21275	19326
524	21311	19282
525	21354	19243
526	21396	19204
527	21430	19157
528	21478	19123
529	21525	19088
530	21572	19053
531	21609	19009
532	21654	18972
533	21696	18933
534	21734	18890
535	21773	18848
536	21815	18809
537	21848	18762
538	21890	18722
539	21929	18680
540	21972	18642
541	22007	18596
542	22054	18561
543	22102	18527
544	22147	18489
545	22185	18447
546	22224	18405
547	22265	18364
548	22302	18321
549	22349	18285
550	22387	18243
551	22424	18199
552	22463	18157
553	22503	18116
554	22547	18078
555	22588	18038
556	22625	17994
557	22663	17951
558	22707	17914
559	22741	17868
560	22780	17826
561	22819	17784
562	22858	17742
563	22895	17699
564	22928	17653
565	22965	17609
566	23005	17568
567	23043	17525
568	23087	17488
569	23127	17447
570	23174	17411
571	23213	17369
572	23258	17331
573	23293	17287
574	23332	17245
575	23370	17203
576	23411	17162
577	23454	17124
578	23498	17085
579	23540	17046
580	23586	17009
581	23627	16969
582	23667	16928
583	23699	16881
584	23745	16845
585	23789	16807
586	23828	16764
587	23864	16721
588	23899	16677
589	23940	16636
590	23980	16595
591	24020	16554
592	24066	16517
593	24103	16474
594	24143	16433
595	24186	16394
596	24229	16355
597	24270	16315
598	24310	16274
599	24355	16236
600	24390	16192
601	24429	16151
602	24468	16109
603	24510	16070
604	24549	16028
605	24589	15987
606	24625	15943
607	24667	15904
608	24705	15861
609	24742	15818
610	24783	15778
611	24826	15739
612	24862	15696
613	24901	15654
614	24945	15616
615	24981	15572
616	25018	15530
617	25058	15489
618	25101	15450
619	25145	15411
620	25187	15372
621	25228	15331
622	25274	15294
623	25314	15253
624	25357	15214
625	25401	15176
626	25436	15132
627	25479	15093
628	25519	15052
629	25557	15010
630	25604	14972
631	25650	14935
632	25700	14900
633	25742	14861
634	25783	14820
635	25822	14778
636	25857	14735
637	25904	14698
638	25946	14658
639	25989	14618
640	26029	14578
641	26070	14537
642	26108	14495
643	26146	14453
644	26190	14414
645	26228	14372
646	26271	14333
647	26313	14293
648	26353	14252
649	26397	14213
650	26432	14170
651	26467	14126
652	26509	14086
653	26551	14047
654	26594	14007
655	26636	13968
656	26679	13928
657	26718	13886
658	26756	13845
659	26796	13804
660	26843	13766
661	26883	13726
662	26923	13685
663	26967	13646
664	27008	13605
665	27045	13563
666	27089	13524
667	27134	13485
668	27171	13443
669	27213	13403
670	27252	13362
671	27290	13320
672	27330	13279
673	27374	13240
674	27427	13205
675	27468	13165
676	27511	13126
677	27553	13085
678	27598	13047
679	27642	13008
680	27686	12968
681	27729	12929
682	27772	12889
683	27819	12852
684	27862	12812
685	27908	12774
686	27943	12731
687	27982	12689
688	28021	12648
689	28063	12608
690	28103	12567
691	28140	12525
692	28180	12483
693	28219	12442
694	28263	12403
695	28302	12361
696	28341	12320
697	28381	12279
698	28425	12240
699	28465	12199
700	28507	12159
701	28555	12121
702	28594	12080
703	28632	12038
704	28673	11998
705	28719	11959
706	28759	11918
707	28799	11877
708	28844	11838
709	28893	11801
710	28935	11761
711	28973	11719
712	29011	11677
713	29058	11639
714	29099	11599
715	29139	11558
716	29187	11520
717	29228	11479
718	29263	11436
719	29300	11394
720	29339	11353
721	29381	11313
722	29417	11270
723	29460	11230
724	29506	11192
725	29556	11154
726	29604	11117
727	29646	11076
728	29687	11036
729	29726	10994
730	29764	10953
731	29808	10913
732	29849	10872
733	29892	10832
734	29940	10794
735	29990	10757
736	30035	10718
737	30076	10677
738	30117	10636
739	30160	10597
740	30199	10555
741	30242	10515
742	30290	10477
743	30329	10435
744	30368	10394
745	30407	10353
746	30444	10311
747	30491	10272
748	30526	10229
749	30566	10188
750	30617	10151
751	30660	10111
752	30706	10072
753	30745	10031
754	30783	9989
755	30822	9948
756	30866	9908
757	30906	9867
758	30948	9826
759	30989	9786
760	31033	9746
761	31075	9706
762	31121	9666
763	31163	9626
764	31197	9583
765	31237	9542
766	31277	9501
767	31317	9460
768	31364	9421
769	31406	9381
770	31446	9340
771	31488	9299
772	31531	9259
773	31581	9221
774	31627	9182
775	31664	9140
776	31702	9098
777	31746	9058
778	31792	9019
779	31832	8978
780	31876	8938
781	31916	8897
782	31958	8856
783	31991	8814
784	32032	8773
785	32076	8733
786	32128	8695
787	32168	8654
788	32208	8613
789	32247	8572
790	32283	8529
791	32326	8489
792	32361	8447
793	32400	8406
794	32436	8364
795	32479	8323
796	32518	8282
797	32559	8241
798	32596	8200
799	32640	8160
800	32678	8118
801	32719	8077
802	32758	8036
803	32802	7996
804	32841	7955
805	32882	7914
806	32923	7873
807	32961	7832
808	33006	7792
809	33047	7751
810	33085	7710
811	33119	7668
812	33158	7626
813	33202	7586
814	33239	7545
815	33285	7505
816	33327	7465
817	33371	7424
818	33415	7384
819	33455	7343
820	33499	7303
821	33537	7262
822	33580	7222
823	33622	7181
824	33664	7140
825	33703	7099
826	33750	7060
827	33793	7019
828	33838	6979
829	33879	6939
830	33918	6897
831	33959	6857
832	33999	6816
833	34046	6776
834	34089	6736
835	34128	6695
836	34174	6655
837	34216	6614
838	34252	6572
839	34297	6532
840	34334	6491
841	34375	6450
842	34416	6409
843	34451	6367
844	34490	6326
845	34530	6285
846	34571	6244
847	34619	6205
848	34664	6165
849	34706	6124
850	34748	6084
851	34798	6044
852	34836	6003
853	34877	5962
854	34919	5922
855	34970	5882
856	35014	5842
857	35053	5801
858	35092	5760
859	35138	5720
860	35180	5679
861	35216	5637
862	35257	5597
863	35300	5556
864	35340	5515
865	35380	5474
866	35418	5433
867	35463	5393
868	35502	5351
869	35544	5311
870	35582	5269
871	35620	5228
872	35665	5188
873	35712	5148
874	35752	5107
875	35789	5066
876	35835	5025
877	35877	4985
878	35912	4943
879	35947	4901
880	35990	4861
881	36038	4821
882	36082	4781
883	36125	4740
884	36164	4699
885	36206	4658
886	36244	4617
887	36283	4576
888	36326	4535
889	36364	4494
890	36406	4453
891	36449	4413
892	36488	4372
893	36531	4331
894	36569	4290
895	36612	4249
896	36651	4208
897	36686	4167
898	36730	4126
899	36771	4085
900	36812	4044
901	36852	4003
902	36894	3963
903	36934	3922
904	36977	3881
905	37017	3840
906	37060	3799
907	37102	3759
908	37155	3719
909	37192	3678
910	37230	3637
911	37274	3596
912	37317	3555
913	37362	3515
914	37406	3474
915	37453	3434
916	37501	3394
917	37548	3354
918	37593	3313
919	37637	3272
920	37676	3231
921	37720	3191
922	37763	3150
923	37803	3109
924	37853	3069
925	37901	3028
926	37940	2987
927	37981	2946
928	38022	2905
929	38066	2865
930	38111	2824
931	38153	2783
932	38203	2743
933	38241	2702
934	38276	2660
935	38318	2620
936	38363	2579
937	38407	2538
938	38455	2498
939	38496	2457
940	38537	2416
941	38574	2375
942	38614	2334
943	38656	2293
944	38693	2251
945	38737	2211
